,Before,After
0,-156001.76655005853,-156595.56607599533
1,-85399.88467213193,-85718.61987893528
2,-249615.07059292612,-250399.14549418323
3,-100481.62226312207,-101013.47259437373
4,-213406.927661113,-214656.24392467548
5,-241844.56143414968,-242424.54577027756
6,-938552.6937870081,-939828.7959702255
7,-123513.40511568138,-123682.48084540758
8,-179794.96104395532,-180736.80067931194
9,-98730.81372578736,-99321.33880016938
10,-228842.3704485261,-229847.85969316916
11,-267345.76938087156,-268461.6613574461
12,-301080.02678554197,-302083.45922649483
13,-183774.44707057066,-184703.7705500196
14,-153084.14887721778,-153769.20382102128
15,-50485.87868404897,-50684.50519109729
16,-157316.63649563066,-158135.45885274006
17,-249724.16209508985,-250588.29352307704
18,-22000.95629237151,-22027.82341620316
19,-112034.473508367,-112604.09494561671
20,-331273.90674852644,-332390.14660726953
21,-228830.7476259085,-229749.0414579078
22,-733553.9908145166,-735942.482790983
23,-291047.2059785537,-292463.91444596264
24,-285860.9457713529,-287214.02888894756
25,-129753.88677841534,-130164.93966980149
26,-209755.18326422686,-210988.73196042885
27,-186782.05878551683,-187828.3326320805
28,-304936.469554531,-306102.48805213557
29,-154296.2594018498,-155246.1048116858
30,-81935.79839218715,-82337.77924041101
31,-279968.0653584988,-281393.78545573395
32,-236140.85461696438,-237254.30158525537
33,-288909.35158806667,-289404.05473515857
34,-316787.1649401095,-317292.45566914754
35,-142306.66706812053,-142710.2236966888
36,-328632.0752843424,-329957.4728717121
37,-458854.1067197148,-460041.195883158
38,-206729.85384397124,-207877.6691724004
39,-335988.0566423167,-338071.4156809263
40,-422152.5102048632,-424048.4394759094
41,-440361.16546438914,-441841.7627478067
42,-250352.37668247664,-252126.99692556862
43,-138390.84396660762,-138916.83101326163
44,-381608.6191704108,-383300.5692893252
45,-113816.37919502032,-114026.5412421151
46,-139839.4808872685,-140605.41026960738
47,-316947.7479637317,-317800.13599561405
